invoice_id,vendor,date,amount,currency,description
INV-0000001,Titan Beverages,2025-05-19,5489.65,INR,Insurance premium
INV-0000002,Quasar Digital,2025-06-17,28337.82,INR,Hardware purchase
INV-0000003,Zephyr Foods,2025-09-07,17844.3,INR,Telecom usage
INV-0000004,Quick Logistics,2025-04-28,19192.2,INR,Logistics charge
INV-0000005,Pine IT Services,2025-09-22,5793.93,INR,Logistics charge
INV-0000006,Iris Pharma,2025-10-04,140414.33,INR,Telecom usage
INV-0000007,Cobalt Energy,2025-08-13,118058.5,INR,Monthly service fee
INV-0000008,Summit Paper,2025-05-31,139778.81,INR,Software subscription
INV-0000009,Nova Travels,2025-05-30,43455.1,INR,Software subscription
INV-0000010,Orion Foods,2025-05-14,76295.5,INR,Software subscription
INV-0000011,Neptune Shipping,2025-09-22,53271.91,INR,Monthly service fee
INV-0000012,Raven Tools,2025-08-16,107477.5,INR,Telecom usage
INV-0000013,Nimbus Soft,2025-09-09,58989.07,INR,Software subscription
INV-0000014,Velvet Cosmetics,2025-06-09,141062.08,INR,Monthly service fee
INV-0000015,Prism Plastics,2025-06-18,154727.13,INR,Hardware purchase
INV-0000016,Cobalt Energy,2025-05-16,76335.18,INR,Office supplies
INV-0000017,Titan Beverages,2025-07-23,32949.49,INR,Software subscription
INV-0000018,Apollo Health,2025-10-09,53762.08,INR,Hardware purchase
INV-0000019,Echo Electronics,2025-09-30,34642.16,INR,Logistics charge
INV-0000020,Metro Logistics,2025-08-17,76201.36,INR,Logistics charge
INV-0000021,Zephyr Foods,2025-07-13,168648.96,INR,Monthly service fee
INV-0000022,Cobalt Energy,2025-04-29,161106.64,INR,Telecom usage
INV-0000023,Nova Travels,2025-05-07,42591.08,INR,Software subscription
INV-0000024,Apollo Health,2025-10-05,100096.64,INR,Office supplies
INV-0000025,Vertex Retail,2025-06-27,28356.25,INR,Insurance premium
INV-0000026,Pearl Analytics,2025-09-17,85972.55,INR,Telecom usage
INV-0000027,Sapphire Finance,2025-06-16,199466.49,INR,Consulting retainer
