payment_id,vendor,date,amount,currency,method,reference
PAY-AE7FA37170,Titan Beverages,2025-05-18,5489.65,INR,NEFT,REF-5586CA65
PAY-32256E4A13,Quasar Digital,2025-06-19,28337.82,INR,IMPS,REF-39C2DCA0
PAY-00AADC46E5,Zephyr Foods,2025-09-17,17844.3,INR,NEFT,REF-3BE5B71F
PAY-1727245614,Quick Logistics,2025-05-07,19192.2,INR,IMPS,REF-BAEE80AC
PAY-33FEA8E47C,Pine IT Services,2025-09-24,6538.84,INR,CASH,REF-7E8DF057
PAY-908107BA26,Iris Pharma,2025-10-03,140414.33,INR,CARD,REF-D62E7AE7
PAY-26750240F3,Cobalt Energy,2025-08-11,118058.5,INR,RTGS,REF-32898384
PAY-6579600F3A,Summit Paper,2025-06-10,139778.81,INR,CARD,REF-BAF5448B
PAY-E5684FC264,Nova Travels,2025-05-31,43455.1,INR,UPI,REF-63B727DD
PAY-71DEE1BA78,Orion Foods,2025-05-21,76295.5,INR,UPI,REF-AB0DA363
PAY-6AE9DDF8F3,Neptune Shipping,2025-10-02,46841.85,INR,NEFT,REF-EE197905
PAY-D6039E3D6B,Raven Tools,2025-08-26,107477.5,INR,NEFT,REF-17965828
PAY-275DC92EB3,Nimbus Soft,2025-09-19,58989.07,INR,RTGS,REF-41962E5D
PAY-6ABEC0B73F,Prism Plastics,2025-06-20,154727.13,INR,UPI,REF-B2E7E122
PAY-65C339CE78,Titan Beverages,2025-07-28,32949.49,INR,NEFT,REF-95040EE8
PAY-391C982A2F,Apollo Health,2025-10-18,53762.08,INR,NEFT,REF-25B48852
PAY-AF4AED8289,Echo Electronics,2025-10-08,34642.16,INR,RTGS,REF-7041F104
PAY-17C3945784,Metro Logistics,2025-08-16,76201.36,INR,NEFT,REF-8062A198
PAY-F05D3C8455,Zephyr Foods,2025-07-21,168648.96,INR,RTGS,REF-3BE887C9
PAY-7E8CA50E48,Nova Travels,2025-05-06,42591.08,INR,CASH,REF-D66D4836
PAY-9B2CBC8F60,Apollo Health,2025-10-06,100096.64,INR,UPI,REF-56F98FE4
PAY-623F873A34,Vertex Retail,2025-07-02,28356.25,INR,CARD,REF-13B75B90
PAY-0039D9FDFD,Pearl Analytics,2025-09-21,85972.55,INR,CARD,REF-814A168B
PAY-8A508E5D2C,Sapphire Finance,2025-06-23,185635.36,INR,CARD,REF-CB390D0F
PAY-BD72B10CB2,Pine IT Services,2025-08-31,18636.43,INR,CARD,REF-C48F1057
PAY-006FA3EC22,Delta Engineering,2025-06-09,125675.49,INR,CARD,REF-9DE054DB
PAY-EE1C840D14,Echo Electronics,2025-05-11,75399.64,INR,IMPS,REF-1E1D45BF
PAY-56FA7D7AA0,Mango Mobility,2025-06-24,194230.14,INR,RTGS,REF-C890A7E7
PAY-B0DE6D7731,Zephyr Foods,2025-05-27,136501.22,INR,CARD,REF-8017385A
PAY-A7934B403A,Glide Technologies,2025-10-02,68365.01,INR,RTGS,REF-9F5F4FAB
PAY-C17A6FBA39,Polar Constructions,2025-06-10,91017.88,INR,NEFT,REF-CDB46034
PAY-06DB04FEFC,Pine IT Services,2025-06-11,101782.49,INR,RTGS,REF-5E564FE3
PAY-073951D8C2,Titan Beverages,2025-07-12,168413.03,INR,CASH,REF-31ED55C9
PAY-22C28F110A,Vertex Retail,2025-07-30,152620.9,INR,CARD,REF-81408C97
PAY-1890E95E0C,Sapphire Finance,2025-07-13,48270.74,INR,CARD,REF-A8BFD78D
PAY-6D78F6F004,Velvet Cosmetics,2025-05-09,17587.86,INR,UPI,REF-F098B764
PAY-F62F8BB6A0,Zeta Telecom,2025-09-08,138596.76,INR,RTGS,REF-E8A3C097
PAY-BE5A76109D,Prism Plastics,2025-08-27,186809.38,INR,RTGS,REF-3CB11CB7
PAY-506C00585C,Helios Motors,2025-09-10,174550.39,INR,IMPS,REF-5340E02A
PAY-713B21AFF0,Apollo Health,2025-09-05,151175.41,INR,IMPS,REF-F145A587
PAY-5118B2FCEE,Iris Pharma,2025-07-18,80098.96,INR,UPI,REF-1AD71568
PAY-2C4A9660C2,Lotus Telecom,2025-09-08,90571.49,INR,CARD,REF-6DBFAEE8
PAY-EB29F124DF,Cobalt Energy,2025-05-07,67948.07,INR,RTGS,REF-76195B32
PAY-614522D68A,Vortex Metals,2025-06-15,1934.57,INR,CARD,REF-110A0421
PAY-D188297C6D,Cobalt Energy,2025-05-18,205236.68,INR,CARD,REF-D32D879D
PAY-49778AC6E9,Zeta Telecom,2025-08-30,47981.92,INR,NEFT,REF-9BB8DB2D
PAY-CE15B1016C,Apollo Health,2025-09-09,25569.81,INR,UPI,REF-54C28899
PAY-A9C50C3664,Orion Foods,2025-05-20,131967.06,INR,RTGS,REF-288324BE
PAY-AEE7852F87,Polar Constructions,2025-08-03,93671.42,INR,CASH,REF-A7FBD8C0
PAY-23BCF63A8E,Zephyr Foods,2025-10-10,196840.96,INR,UPI,REF-81C8F9C0
PAY-1B01E5E64D,Alpha Insure,2025-08-02,145778.61,INR,NEFT,REF-AD39959C
PAY-92020B7D6B,Quasar Digital,2025-06-17,38446.68,INR,CASH,REF-9D0D8B7E
PAY-C716B394F7,Astra Labs,2025-08-09,37105.86,INR,NEFT,REF-64B277BA
